"frequency_ghz","channel","absolute_commanded_phase_deg","relative_commanded_from_180_deg","measured_relative_from_180_deg","phase_error_from_180_deg","original_phase_error_from_0_deg","reference_180_measured_magnitude_deg","reference_180_original_error_deg","tone_level_dbfs","amplitude_delta_from_0_db","circular_std_deg","sample_count","source_directory"
"2.5","1","45","-135","-131.45700000000002","3.542999999999978","1.7419999999999973","178.199","-1.8009999999999877","-18.147","-0.20599999999999952","0.016","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","67.5","-112.5","-110.45800000000001","2.0419999999999874","0.24099999999999966","178.199","-1.8009999999999877","-18.129","-0.1880000000000024","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","90","-90","-86.95600000000002","3.0439999999999827","1.242999999999995","178.199","-1.8009999999999877","-18.734","-0.7930000000000028","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","112.5","-67.5","-67.56000000000002","-0.060000000000016485","-1.8610000000000042","178.199","-1.8009999999999877","-18.851","-0.9100000000000001","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","135","-45","-47.15100000000001","-2.1510000000000105","-3.951999999999998","178.199","-1.8009999999999877","-18.794","-0.8530000000000015","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","157.5","-22.5","-25.602000000000004","-3.102000000000004","-4.902999999999992","178.199","-1.8009999999999877","-18.288","-0.3470000000000013","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","180","0","0","0","-1.8009999999999877","178.199","-1.8009999999999877","-18.148","-0.20700000000000074","0.009","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","202.5","22.5","20.49199999999999","-2.0080000000000098","-3.8089999999999975","178.199","-1.8009999999999877","-18.158","-0.2170000000000023","0.005","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","225","45","46.44","1.4399999999999977","-0.36099999999999","178.199","-1.8009999999999877","-18.38","-0.43900000000000006","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","247.5","67.5","67.661","0.16100000000000136","-1.6399999999999864","178.199","-1.8009999999999877","-18.432","-0.49099999999999966","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
