"frequency_ghz","channel","commanded_phase_deg","measured_phase_magnitude_deg","phase_error_deg","tone_level_dbfs","amplitude_delta_db","circular_std_deg","sample_count","source_directory"
"2.7","1","45","45.396","0.3960000000000008","-17.757","-0.005000000000002558","0.032","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","67.5","66.445","-1.0550000000000068","-17.883","-0.13100000000000023","0.074","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","90","89.307","-0.6929999999999978","-18.403","-0.6509999999999998","0.014","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","112.5","111.545","-0.9549999999999983","-18.43","-0.6780000000000008","0.023","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","135","132.227","-2.772999999999996","-18.668","-0.9160000000000004","0.038","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","157.5","154.201","-3.2990000000000066","-18.431","-0.679000000000002","0.042","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","180","181.958","1.9579999999999984","-18.003","-0.2510000000000012","0.081","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","202.5","203.07","0.5699999999999932","-17.906","-0.15399999999999991","0.007","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","225","227.599","2.5989999999999895","-17.996","-0.24399999999999977","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","247.5","248.575","1.0749999999999886","-18.077","-0.32500000000000284","0.067","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","270","271.776","1.7760000000000105","-18.466","-0.7140000000000022","0.017","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","292.5","292.68","0.18000000000000682","-18.697","-0.9450000000000003","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","315","312.68399999999997","-2.316000000000031","-18.672","-0.9200000000000017","0.039","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","1","337.5","334.296","-3.2040000000000077","-18.437","-0.6850000000000023","0.007","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","2","0","-0.036","-0.036","-19.588","0","0.037","4","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","22.5","21.078","-1.4220000000000006","-19.594","-0.006000000000000227","0.01","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","45","45.455","0.4549999999999983","-19.861","-0.2729999999999997","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","67.5","66.473","-1.027000000000001","-19.932","-0.34399999999999764","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","90","87.982","-2.0180000000000007","-20.448","-0.8599999999999994","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","112.5","108.311","-4.188999999999993","-20.371","-0.7829999999999977","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","135","129.114","-5.885999999999996","-20.283","-0.6950000000000003","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","157.5","152.497","-5.002999999999986","-19.96","-0.3719999999999999","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","180","181.186","1.186000000000007","-19.688","-0.09999999999999787","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","202.5","202.494","-0.006000000000000227","-19.708","-0.11999999999999744","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","225","226.748","1.7479999999999905","-20.077","-0.48900000000000077","0","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","247.5","247.801","0.3009999999999877","-20.181","-0.593","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","270","269.665","-0.33499999999997954","-20.79","-1.2019999999999982","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","292.5","289.103","-3.3969999999999914","-20.702","-1.1140000000000008","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","315","308.868","-6.132000000000005","-20.62","-1.032","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"2.7","2","337.5","331.903","-5.59699999999998","-20.127","-0.5389999999999979","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"3","1","0","0.604","0.604","-20.759","0","0.604","4","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","22.5","22.021","-0.4789999999999992","-21.111","-0.3520000000000003","0.014","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","45","45.211","0.21099999999999852","-21.451","-0.6920000000000002","0.098","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","1","67.5","66.018","-1.4819999999999993","-21.538","-0.7789999999999999","0.094","2","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
